317	150	7
388	156	13
443	161	17
480	164	20
610	175	31
731	180	36
914	190	40
1047	197	42
1219	205	44
1294	208	43
1405	213	42
1466	215	42
1524	215	43
1829	220	40
2134	230	39
2438	235	34
2743	240	28
2844	243	29
3067	249	31
3114	250	31
3198	252	31
3658	265	29
4267	275	23
4877	295	17
5148	293	15
5336	291	13
5486	290	12
5800	275	15
5877	271	17
6096	260	21
